year,continent,discipline,generation,profession,Concepto_2,Concepto_3
2016,Asia,Humanidad,Baby boomers,Inteligencia artificial,Datos como poder,Democracia digital
2023,América,Tecnología,Millenials,Inteligencia colectiva,Democracia digital,Ciencia y sociedad
2016,América,Humanidad,Millenials,Medicina del futuro,Ciencia y sociedad,Neurociencia
2023,América,Tecnología,Millenial,Océanos vivos,Democracia digital,Ciencia y sociedad
2025,América,Humanidad,Gen X,Mente y cerebro,Transición energética,Océanos vivos
2016,América,Sociedad,Millenials,Mente y cerebro,Transición energética,Educación y divulgación científica
2025,América,Tecnología,Baby boomers,Medicina del futuro,Inteligencia artificial,Democracia digital
2019,América,Tecnología,Millenial,Mente y cerebro,Cambio climático,Océanos vivos
2016,Chile,S/I,Gen X,Mente y cerebro,Transición energética,Ciencia y sociedad
2015,Chile,Tecnología,Baby boomers,Medicina del futuro,Inteligencia artificial,Ciencia y sociedad
2018,Chile,S/I,Gen X,Medicina del futuro,Transición energética,Ciencia y sociedad
2023,América,Naturaleza,Millenials,Inteligencia colectiva,Cambio climático,Democracia digital
2020,Chile,Humanidad,Baby boomers,Mente y cerebro,Democracia digital,Ciencia y sociedad
2021,América,Tecnología,Baby boomers,Edición genética,Límites de la IA,Ciencia y sociedad
2019,América,Tecnología,Gen X,Edición genética,Mente y cerebro,Neurociencia
2020,Chile,Naturaleza,Baby boomers,Mente y cerebro,Ciencia y sociedad,Educación y divulgación científica
2021,Europa,S/I,Gen X,Medicina del futuro,Mente y cerebro,Biodiversidad crítica
2025,Chile,Tecnología,Millenials,Medicina del futuro,Límites de la IA,Mente y cerebro
2018,Africa,Energía,Gen silenciosa,Mente y cerebro,Cambio climático,Océanos vivos
2015,Chile,Humanidad,Gen X,Inteligencia colectiva,Ciencia y sociedad,Biodiversidad crítica
2018,América,Tecnología,Baby boomers,Límites de la IA,Cambio climático,Inteligencia artificial
2021,Europa,Tecnología,Gen X,Mente y cerebro,Democracia digital,Ciencia y sociedad
2015,Chile,S/I,Baby boomers,Océanos vivos,Democracia digital,Ciencia y sociedad
2018,Chile,Tecnología,Gen X,Límites de la IA,Inteligencia artificial,Ciencia y sociedad
2016,Chile,S/I,Gen X,Océanos vivos,Transición energética,Ciencia y sociedad
2022,Chile,Salud,Gen X,Democracia del futuro,Democracia digital,Ciencia y sociedad
2019,Chile,S/I,Gen X,Edición genética,Inteligencia artificial,Mente y cerebro
2015,América,Tecnología,Baby boomers,Mente y cerebro,Ciencia y sociedad,Educación y divulgación científica
2017,América,S/I,Gen X,Cambio climático,Biodiversidad crítica,Océanos vivos
2026,Chile,Tecnología,Gen X,Inteligencia colectiva,Cambio climático,Democracia digital
2016,Chile,Tecnología,Gen X,Medicina del futuro,Transición energética,Ciencia y sociedad
2025,América,Tecnología,Millenials,Medicina del futuro,Inteligencia artificial,Mente y cerebro
2016,Chile,S/I,Millenials,Océanos vivos,Democracia digital,Ciencia y sociedad
2013,Chile,Naturaleza,Baby boomers,Océanos vivos,Democracia digital,Ciencia y sociedad
2024,Chile,Tecnología,Millenials,Medicina del futuro,Educación y divulgación científica,Mente y cerebro
2021,América,Tecnología,Gen X,Medicina del futuro,Inteligencia artificial,Ciencia y sociedad
2023,Chile,Salud,Millenials,Educación y divulgación científica,Ciencia y sociedad,Mente y cerebro
2024,Chile,Tecnología,Millenials,Inteligencia artificial,Datos como poder,Democracia digital
2018,Chile,Naturaleza,Gen X,Medicina del futuro,Educación y divulgación científica,Mente y cerebro
2017,Europa,Tecnología,Baby boomers,Límites de la IA,Cambio climático,Transición energética
2017,Chile,Salud,Gen X,Cambio climático,Datos como poder,Biodiversidad crítica
2025,Chile,Tecnología,Millenials,Límites de la IA,Inteligencia artificial,Democracia digital
2015,Chile,Naturaleza,Gen X,Inteligencia artificial,Datos como poder,Límites de la IA
